date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:01	112/112	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Sep%202022%2010:22:02%20GMT	https://kriesi.at/robots.txt		(from )
15:52:01	98095/98095	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Sep%202022%2010:22:02%20GMT	https://kriesi.at/themes/enfold-parallax/	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/index.html	(from )
15:52:02	10817/10817	---M-Z	200	added ('OK')	text/css	etag:%222a41-5e04f52f92ec1;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/grid.css?ver=5.0-dev-0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/grid4e67.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:02	19040/19040	---M-Z	200	added ('OK')	text/css	etag:%224a60-5e04f52efe7ce;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/base.css?ver=5.0-dev-0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/base4e67.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:03	86680/86680	---M-Z	200	added ('OK')	text/css	etag:%2215298-5e04f52fb807d;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/layout.css?ver=5.0-dev-0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/layout4e67.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:03	903/903	---MCZ	200	added ('OK')	application/rss+xml	etag:%22df0e47ffbbb3dfd1edb5e1cbccb4ca81-gzip%22	https://kriesi.at/themes/enfold-parallax/feed/	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/feed/index.html	(from https://kriesi.at/themes/enfold-parallax/)
15:52:03	265/265	---MC-	200	added ('OK')	text/calendar	date:Thu,%2008%20Sep%202022%2010:22:04%20GMT	https://kriesi.at/themes/enfold-parallax/events/?ical=1	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/events/indexedf3.html	(from https://kriesi.at/themes/enfold-parallax/)
15:52:03	21797/21797	---M-Z	200	added ('OK')	text/css	etag:%225525-5e04f49f649e3;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/blog/blog.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/blog/blog5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:04	4100/4100	---M-Z	200	added ('OK')	text/css	etag:%221004-5e04f4a88e44c;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/postslider/postslider.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/postslider/postslider5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:04	6888/6888	---M-Z	200	added ('OK')	text/css	etag:%221ae8-5e04f49f85d20;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/buttons/buttons.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/buttons/buttons5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:04	5642/5642	---M-Z	200	added ('OK')	text/css	etag:%22160a-5e04f4a0a1046;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/comments/comments.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/comments/comments5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:05	12939/12939	---M-Z	200	added ('OK')	text/css	etag:%22328b-5e04f4a102abd;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/contact/contact.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/contact/contact5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:05	2954/2954	---M-Z	200	added ('OK')	text/css	etag:%22b8a-5e04f4a221c63;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/gallery/gallery.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/gallery/gallery5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:05	2064/2064	---M-Z	200	added ('OK')	text/css	etag:%22810-5e04f4a2bff94;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/grid_row/grid_row.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/grid_row/grid_row5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:06	4785/4785	---M-Z	200	added ('OK')	text/css	etag:%2212b1-5e04f4a387302;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/heading/heading.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/heading/heading5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:06	2028/2028	---M-Z	200	added ('OK')	text/css	etag:%227ec-5e04f4a412d55;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/headline_rotator/headline_rotator.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/headline_rotator/headline_rotator5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:06	2265/2265	---M-Z	200	added ('OK')	text/css	etag:%228d9-5e04f4a362145;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/hr/hr.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/hr/hr5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:06	6714/6714	---M-Z	200	added ('OK')	text/css	etag:%221a3a-5e04f4a4f3701;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/image/image.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/image/image5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:07	19318/19318	---M-Z	200	added ('OK')	text/css	etag:%224b76-5e04f4a647461;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/masonry_entries/masonry_entries.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/masonry_entries/masonry_entries5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:07	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5e04f52eae696;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/avia-snippet-site-preloader.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/avia-snippet-site-preloader5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:07	3105/3105	---M-Z	200	added ('OK')	text/css	etag:%22c21-5e04f4a766607;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/numbers/numbers.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/numbers/numbers5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:08	9716/9716	---M-Z	200	added ('OK')	text/css	etag:%2225f4-5e04f4adf8f4c;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/social_share/social_share.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/social_share/social_share5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:08	3691/3691	---M-Z	200	added ('OK')	text/css	etag:%22e6b-5e04f4bcc3010;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/tabs/tabs.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/tabs/tabs5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:08	1925/1925	---M-Z	200	added ('OK')	text/css	etag:%22785-5e04f4c9e24db;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/video/video.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-templatebuilder/avia-shortcodes/video/video5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:09	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e3a231960a0c;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-includes/css/dist/block-library/style.min5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:10	45236/45236	---M-Z	200	added ('OK')	text/css	etag:%22b0b4-5e04f53017bb5;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/shortcodes.css?ver=5.0-dev-0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/shortcodes4e67.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:11	6948/6948	---M-Z	200	added ('OK')	text/css	etag:%221b24-5e04f592410cc;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/js/aviapopup/magnific-popup.css?ver=5.0-dev-0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/js/aviapopup/magnific-popup4e67.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:11	3639/3639	---M-Z	200	added ('OK')	text/css	etag:%22e37-5e04f52ea0bd7;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/avia-snippet-lightbox.css?ver=5.0-dev-0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/avia-snippet-lightbox4e67.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:12	178565/178565	---M-Z	200	added ('OK')	text/css	etag:%222b985-5e050c77ea76c;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/uploads/sites/87/dynamic_avia/enfold.css?ver=62963a108b074	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/uploads/sites/87/dynamic_avia/enfold4036.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:12	707/707	---M-Z	200	added ('OK')	text/css	etag:%222c3-5e04f52f4d967;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/custom.css?ver=5.0-dev-0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/css/custom4e67.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:13	20866/20866	---M-Z	200	added ('OK')	text/css	etag:%225182-5e04f3c1cd5fc;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-events-calendar/event-mod.css?ver=6.0.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/config-events-calendar/event-mod5b21.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:13	17486/17486	---M-Z	200	added ('OK')	text/css	etag:%22444e-5e0567362e636;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/uploads/sites/87/avia_posts_css/post-2009.css?ver=ver-1654036791	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/uploads/sites/87/avia_posts_css/post-20098aee.css	(from https://kriesi.at/themes/enfold-parallax/)
15:52:13	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5e100d1b105bb;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-includes/js/jquery/jquery.minaf6c.js	(from https://kriesi.at/themes/enfold-parallax/)
15:52:14	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5e100d1b105bb;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://kriesi.at/themes/enfold-parallax/)
15:52:15	2285/2285	---M-Z	200	added ('OK')	application/javascript	etag:%228ed-5e04f582b5a5a;5e8033b53a9f7	https://kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/js/avia-compat.js?ver=5.0-dev-0	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-content/themes/enfold_av_beta/js/avia-compat4e67.js	(from https://kriesi.at/themes/enfold-parallax/)
15:52:16	80439/80439	---MC-	200	added ('OK')	application/json	date:Thu,%2008%20Sep%202022%2010:22:17%20GMT	https://kriesi.at/themes/enfold-parallax/wp-json/wp/v2/pages/2009	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/wp-json/wp/v2/pages/2009.json	(from https://kriesi.at/themes/enfold-parallax/)
15:52:17	199/199	---M--	403	error ('Forbidden')	text/html	date:Thu,%2008%20Sep%202022%2010:22:18%20GMT	https://kriesi.at/themes/enfold-parallax/xmlrpc.php?rsd	E:/Web/Kriesi/kriesi.at/themes/enfold-parallax/xmlrpc.200db0.delayed	(from https://kriesi.at/themes/enfold-parallax/)
